Year,State,<1 month,1-5  mos ,6-11 mos ,12-17 mos ,18-23 mos ,24-29 mos ,30-35 mos ,3-4 yrs,5+ years,Total # Children,Missing Data,Mean,Median
2013,Kansas,0.1,15.3,34.9,20.9,13.4,7.7,2.8,3.7,1.2,674,0,14.8,11
2013,Kentucky,0.4,29.4,38.8,15.9,5.8,3.1,2.4,3.1,1.1,797,0,11.5,8
2013,Louisiana,0,22.8,45.8,16.3,7,4,2.5,0.5,1.1,731,0,11.2,8
2013,Maine,0,7.7,40.7,32.5,9.1,5.3,2.4,2.4,0,209,5,13.3,12
2013,Maryland,3.1,61.5,15,10.8,1.9,1.5,1.2,1.9,3.1,260,95,9.8,4
2013,Massachusetts,0,24.1,33.1,14.7,7.5,5.4,4.9,6.7,3.5,791,8,16.3,10
2013,Michigan,0.1,19.8,40.7,21.2,6.9,3.4,2.7,3.7,1.5,2363,11,13.1,10
2013,Minnesota,0,13.6,39.5,24.1,7.2,5,4.7,4.8,1,580,3,14.4,11
2013,Mississippi,1.1,39.8,27.6,13.1,4,6.8,3.4,3.4,0.9,352,0,11.4,7
2013,Missouri,30.9,40.5,15,6.9,2.6,0.4,0.9,0.7,2,1214,19,6.6,3
2013,Montana,3.8,14.1,33.3,22.4,9,7.7,5.1,1.9,2.6,156,9,14.7,11
2013,Nebraska,14,41.9,23.9,12,3.5,2.1,0.7,1.4,0.5,573,13,7.5,5
2013,Nevada,1,31.1,37.7,13,8.7,2.8,2,2.9,0.8,714,15,11.3,8
2013,New Hampshire,0,48.6,41,3.8,3.8,0,0,1.9,1,105,5,7.2,6
2013,New Jersey,1.4,30.1,36.3,12.9,9,5.8,2,1,1.4,919,8,11.6,8
2013,New Mexico,1,27.7,26.1,19.4,13.9,3.2,2.3,4.8,1.6,310,0,14,11
2013,New York,0,24.1,31.4,17.4,11.3,5.8,2.8,5,2.1,2149,35,14.7,10
2013,North Carolina,3.4,37.5,32.1,14.7,4.4,2.6,1.9,2.5,1,1221,1,10,7
2013,North Dakota,0,24.5,40.2,27.5,2,1,2.9,2,0,102,2,10.7,9
2013,Ohio,1.1,28.2,33.8,16.7,7.9,3.5,3.3,3.2,2.3,1242,2,13.1,9
2013,Oklahoma,2.9,27.1,36.6,15.1,6.4,3.2,2.4,3.9,2.4,1280,6,12.6,8
2013,Oregon,0,5,35.9,29.7,16.5,6.5,3.4,2,1,764,4,15.4,13
2013,Pennsylvania,0.8,41.5,36.8,11.6,3.9,2.3,1.2,1.4,0.6,1885,7,8.8,7
2013,Rhode Island,70.8,13.7,5,2.5,0.6,1.9,0.6,1.9,3.1,161,1,5.2,0
2013,South Carolina,2.8,35.2,29.1,12.9,5.7,3,4.2,5.1,2,505,1,12.1,7
2013,South Dakota,1.7,11.4,33.1,26.9,11.4,6.9,2.9,3.4,2.3,175,2,16.2,12
2013,Tennessee,11.6,56.4,17.5,8.1,3.7,1.1,0.7,0.8,0.1,1113,46,5.8,3
2013,Texas,0,19.5,34.8,20.2,10.5,5.1,2.9,4.5,2.6,5439,4,15.2,11
2013,Utah,8.1,63.2,17.2,6.4,1.7,0.7,0.2,1.9,0.7,581,6,6,3
2013,Vermont,0,52,35.8,8.4,2.2,0,0.6,0.6,0.6,179,0,7,5
2013,Virginia,0,18.7,30.7,20.8,13.3,6.9,3,4.7,2,707,2,15.2,12
2013,Washington,0.8,37,34.5,14.5,5.6,2.8,2.2,2.3,0.3,1323,5,9.9,7
2013,West Virginia,0.2,6.6,38.3,32.7,12.6,5,2.3,1.7,0.6,866,11,13.9,12
2013,Wisconsin,0.6,52,28.2,10.2,4.3,2.7,0.8,0.6,0.5,783,17,8,5
2013,Wyoming,9.3,64,9.3,10.5,4.7,1.2,1.2,0,0,86,0,5.2,3
2013,Puerto Rico,10.5,5.3,0,21.1,15.8,10.5,5.3,21.1,10.5,19,0,27.9,23
2013,Total,2.4,29.6,34.1,16.5,7.2,3.6,2.1,3,1.5,50141,679,11.8,8
2012,Alabama,1.2,31.3,28.9,15.1,10.2,4.6,2.1,4.3,2.2,581,6,13.3,9
2012,Alaska,8.1,33.7,22.7,11,12.6,3.2,3.6,2.9,2.3,309,0,16,7
